"","X","Participant","imp","Val","Condition","group","in_samples","out_samples","firstSample","In.Est","Out.Est"
"677",677,"R_2ag9DogY3nae0Cg","posIngroup","pos",2,"rep",43,1,0,71,60
"678",678,"R_2AGQwC8tgmYiJJA","posOutgroup","pos",3,"rep",2,1,1,70,58
"679",679,"R_2AHx9Gy7g7dMgDc","negIngroup","neg",1,"rep",4,3,1,80,50
"680",680,"R_2aIxBWXQbfeTuTX","negIngroup","neg",2,"rep",2,1,0,55,55
"681",681,"R_2alAWX2HjySDQ8W","posOutgroup","pos",1,"rep",2,2,1,54,57
"682",682,"R_2aOD9RaLlB7Xa4x","posOutgroup","pos",2,"rep",18,16,0,77,62
"683",683,"R_2atv6rI0R5nTiPM","negIngroup","neg",1,"rep",8,6,1,60,68
"684",684,"R_2ax06Xp83TC7Ruj","posOutgroup","pos",3,"rep",6,6,1,53,74
"685",685,"R_2axad2nhFDvtt9s","posIngroup","pos",3,"rep",1,0,1,65,60
"686",686,"R_2axx9y2LqxmiSdW","posIngroup","pos",3,"rep",3,28,0,50,60
"687",687,"R_2B5w8CJelfKGy6p","negIngroup","neg",1,"rep",5,5,0,93,55
"688",688,"R_2BantlsAoxXaw3A","posOutgroup","pos",3,"rep",9,8,0,59,NA
"689",689,"R_2bVtgQaHWPPVXST","posOutgroup","pos",2,"rep",17,17,0,58,56
"690",690,"R_2BzkYp4kKCm6D0a","negOutgroup","neg",1,"rep",0,2,1,56,66
"691",691,"R_2c5YTFDJBUy7bUd","posIngroup","pos",3,"rep",2,2,0,65,59
"692",692,"R_2cbFMoGLjeBZ6Hr","posOutgroup","pos",1,"rep",9,7,0,50,63
"693",693,"R_2CcPZISpElVBvnP","negIngroup","neg",3,"rep",3,3,0,70,60
"694",694,"R_2CDHeaR5YjHlR2G","posIngroup","pos",1,"rep",2,1,1,65,60
"695",695,"R_2coW6KnWCn2cX7s","posOutgroup","pos",1,"rep",7,8,1,67,85
"696",696,"R_2D5mNYWiJSo07Qb","negIngroup","neg",1,"rep",6,5,1,60,71
"697",697,"R_2D8hqvyQVWZ0h7y","negIngroup","neg",1,"rep",4,3,0,65,73
"698",698,"R_2dEbNZDWn5bGfDW","negIngroup","neg",3,"rep",16,19,1,73,67
"699",699,"R_2dhHtfnX0zS4iz0","posIngroup","pos",1,"rep",7,5,0,68,59
"700",700,"R_2dlLwpSPGT48DF0","posIngroup","pos",3,"rep",6,6,0,73,54
"701",701,"R_2DNUTNEZSFbiZMi","negIngroup","neg",3,"rep",7,4,1,67,56
"702",702,"R_2dnWnbpgDoatFEs","negIngroup","neg",3,"rep",1,1,1,60,50
"703",703,"R_2DOmAXEeNR3a5r0","negIngroup","neg",2,"rep",8,0,1,64,66
"704",704,"R_2dSxI8XNdJ1XhwS","posOutgroup","pos",1,"rep",10,6,0,86,56
"705",705,"R_2DTQEdT0PAFXsn7","negIngroup","neg",1,"rep",2,2,0,46,75
"706",706,"R_2dyEJQQ3qNUR3Rc","posOutgroup","pos",2,"rep",2,3,0,74,74
"707",707,"R_2e2lZPS2lwAzWir","posOutgroup","pos",3,"rep",8,8,1,33,37
"708",708,"R_2E3PXUr6CTzlSm0","posOutgroup","pos",2,"rep",2,0,0,70,60
"709",709,"R_2e4GGYjinZuJFNp","negOutgroup","neg",3,"rep",4,3,1,80,60
"710",710,"R_2e4sq7Pr6761TT8","posOutgroup","pos",3,"rep",5,5,0,76,40
"711",711,"R_2EAEbpFwBVImoOv","negIngroup","neg",1,"rep",11,12,0,61,65
"712",712,"R_2Ehi09iD1IvB3EA","negOutgroup","neg",1,"rep",3,0,0,96,50
"713",713,"R_2eOpjdXJanzioIo","posOutgroup","pos",1,"rep",2,2,0,73,74
"714",714,"R_2eVGSzGvxULB3eX","negIngroup","neg",1,"rep",0,2,0,75,67
"715",715,"R_2f40A12hXnGtIZc","posOutgroup","pos",2,"rep",3,4,0,60,60
"716",716,"R_2fBA8vkHJ66sD6T","negOutgroup","neg",3,"rep",2,2,1,71,63
"717",717,"R_2fHtTrso0nnjzo8","negIngroup","neg",2,"rep",4,6,0,48,68
"718",718,"R_2fIrlS3eD7IlQfz","posOutgroup","pos",1,"rep",2,1,0,55,65
"719",719,"R_2fqdW3XDQLuDYDl","negOutgroup","neg",3,"rep",0,4,0,56,59
"720",720,"R_2fsbdaJuUBmql6V","posOutgroup","pos",2,"rep",2,2,0,78,66
