"","X","Participant","honesty_Q","totMturkStudies","totEconStudies","totPsychStudies","age","gender","education","income","Pol.Affil","threat1","threat2","Q1350","Q.B_P.status_1","Q.B_P.status_2","imp","Val","Condition","HH","EX","Att","NFC","ethnicity","group","n_trials","in_samples","out_samples","In.Est","Out.Est"
"400",400,"R_5bgG21eINeUBR2V",3,"725","100","150",44,1,3,3,3,4,4,2,75,85,"negOutgroup","neg",2,3.6,4.5,1,3.94117647058824,1,"dem",2,1,1,58,64
"401",401,"R_5ncoMJK0AygYzRv",6,"200","15","150",49,0,4,7,2,4,3,4,50,50,"negIngroup","neg",2,5.4,2.1,0,4.47058823529412,0,"dem",2,2,0,55,65
"402",402,"R_5tBNn08HSR3e0Kt",7,"20000","100","100",57,0,2,4,1,1,1,5,59,55,"posIngroup","pos",1,4.9,3.5,0,3.23529411764706,0,"dem",18,8,10,75,70
"403",403,"R_6JMcoT5ocHqBhND",3,"700","50","600",47,0,2,0,3,3,5,5,50,61,"posOutgroup","pos",2,3.5,2.4,1,NA,1,"dem",8,4,4,54,66
"404",404,"R_6Mg4D3TFOvlFhZL",5,"1000","100","100",29,1,4,7,2,2,3,5,60,80,"negOutgroup","neg",1,3.1,3.1,1,4.05882352941176,NA,"dem",1,0,1,68,75
"405",405,"R_6nHImLD0D2A0xJT",5,"320","40","35",50,0,2,5,3,3,5,4,35,77,"negIngroup","neg",1,3.5,3.5,1,3.82352941176471,0,"dem",8,4,4,42,69
"406",406,"R_6sBWFCZqunzkJPz",5,"500","0","500",36,1,4,7,1,1,1,4,51,51,"posIngroup","pos",2,4.4,2.5,0,4.29411764705882,0,"dem",13,7,6,69,69
"407",407,"R_6WpZqkWR4anVncR",7,"1193","100","200",53,0,5,7,2,4,4,4,80,60,"posIngroup","pos",2,5.3,5.3,0,3.88235294117647,0,"dem",2,1,1,58,63
"408",408,"R_719LwTwdOM9s2I1",6,"6000","200","1000",26,0,4,7,3,4,3,5,26,72,"posIngroup","pos",2,3.4,4.5,0,2.47058823529412,0,"dem",4,2,2,60,50
"409",409,"R_71mXhmilL4jpHax",7,"50","10","30",22,1,4,2,2,5,4,5,40,70,"negIngroup","neg",1,2.8,2.3,0,2.58823529411765,1,"dem",3,2,1,58,64
"410",410,"R_82JmRXcRYBRzNTP",6,"14000","2000","6000",47,1,2,7,3,2,4,2,80,81,"posIngroup","pos",3,3.2,6.4,1,2.29411764705882,0,"dem",12,5,7,75,65
"411",411,"R_85OjAUKgRNWY7qp",5,"100","10","10",28,1,4,0,3,1,1,4,0,0,"posIngroup","pos",2,4.1,3.7,0,3.64705882352941,0,"dem",7,5,2,61,50
"412",412,"R_9GNpTHs5nmZXozf",6,"6000","300","300",38,1,3,5,3,4,6,6,71,31,"posIngroup","pos",2,3.6,4.4,1,3.76470588235294,1,"dem",14,7,7,80,53
"413",413,"R_9pHpRzKObQh6uEp",7,"500","30","100",29,1,4,7,3,1,1,4,49,3,"negIngroup","neg",1,3.5,4.4,1,3.70588235294118,0,"dem",14,8,6,63,68
"414",414,"R_9uV5SoewtQwQHU5",7,"2000","500","500",37,0,2,7,1,2,2,6,70,63,"posOutgroup","pos",2,4.9,4.4,0,3.47058823529412,0,"dem",10,5,5,50,50
